symbol,ID,adj.P.Val,P.Value,t,B,logFC,ORF,desc
XPO7,23039_at,0.96,0.8392666,0.206439,-5.7722,0.05485,23039,exportin 7
PABPC1L2B,645974_at,0.96,0.8393444,-0.206338,-5.7722,-0.0275333,645974,"poly(A) binding protein, cytoplasmic 1-like 2B"
SLC32A1,140679_at,0.96,0.8393759,0.206297,-5.7723,0.0235722,140679,"solute carrier family 32 (GABA vesicular transporter), member 1"
LRCH3,84859_at,0.96,0.8394483,0.206203,-5.7723,0.048,84859,leucine-rich repeats and calponin homology (CH) domain containing 3
TRIM26,7726_at,0.96,0.8394937,-0.206143,-5.7723,-0.0587778,7726,tripartite motif containing 26
TLCD4,148534_at,0.96,0.8395115,0.20612,-5.7723,0.1190167,148534,transmembrane protein 56
uncharacterized MGC13053,84796_at,0.96,0.8397275,-0.205838,-5.7723,-0.0247667,84796,uncharacterized MGC13053
MTG2,26164_at,0.96,0.8397553,0.205802,-5.7724,0.0591278,26164,GTP binding protein 5 (putative)
uncharacterized LOC100507140,100507140_at,0.96,0.8397712,0.205782,-5.7724,0.0252611,100507140,uncharacterized LOC100507140
C8orf76,84933_at,0.96,0.8398888,0.205628,-5.7724,0.05865,84933,chromosome 8 open reading frame 76
RNF213,57674_at,0.96,0.8400186,0.205459,-5.7724,0.0448667,57674,ring finger protein 213
PRAC1,84366_at,0.96,0.8400839,0.205374,-5.7724,0.02495,84366,prostate cancer susceptibility candidate
HACE1,57531_at,0.96,0.8400896,0.205366,-5.7724,0.0705056,57531,"HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1"
ERO1B,56605_at,0.96,0.8401329,0.20531,-5.7725,0.1373722,56605,ERO1-like beta (S. cerevisiae)
IGSF1,3547_at,0.96,0.8402192,0.205197,-5.7725,0.0250889,3547,"immunoglobulin superfamily, member 1"
TECPR1,25851_at,0.96,0.8402592,0.205145,-5.7725,0.05565,25851,tectonin beta-propeller repeat containing 1
ACOX1,51_at,0.96,0.8402868,0.205109,-5.7725,0.0566444,51,"acyl-CoA oxidase 1, palmitoyl"
OR5I1,10798_at,0.96,0.840394,-0.20497,-5.7725,-0.0202444,10798,"olfactory receptor, family 5, subfamily I, member 1"
C3AR1,719_at,0.96,0.8404021,-0.204959,-5.7725,-0.0272278,719,complement component 3a receptor 1
MFSD2A,84879_at,0.961,0.8405483,-0.204769,-5.7726,-0.0981944,84879,major facilitator superfamily domain containing 2A
uncharacterized LOC100507353,100507353_at,0.961,0.840827,-0.204405,-5.7726,-0.0179056,100507353,uncharacterized LOC100507353
REG1B,5968_at,0.961,0.8408606,-0.204361,-5.7726,-0.0204278,5968,regenerating islet-derived 1 beta
MSX2,4488_at,0.961,0.840932,-0.204268,-5.7727,-0.1900278,4488,msh homeobox 2
XG,7499_at,0.961,0.8409328,-0.204267,-5.7727,-0.0243778,7499,Xg blood group
ZNF675,171392_at,0.961,0.8409489,-0.204246,-5.7727,-0.1031056,171392,zinc finger protein 675
CPED1,79974_at,0.961,0.8410313,0.204139,-5.7727,0.0924667,79974,chromosome 7 open reading frame 58
CCNC,892_at,0.961,0.841117,-0.204027,-5.7727,-0.0577222,892,cyclin C
A4GNT,51146_at,0.961,0.841157,0.203975,-5.7727,0.0293944,51146,"alpha-1,4-N-acetylglucosaminyltransferase"
TAFA2,338811_at,0.961,0.8412419,-0.203864,-5.7727,-0.0295,338811,"family with sequence similarity 19 (chemokine (C-C motif)-like), member A2"
DCTN6,10671_at,0.961,0.841335,0.203743,-5.7728,0.0556056,10671,dynactin 6
ZNF665,79788_at,0.961,0.8414216,0.20363,-5.7728,0.0905778,79788,zinc finger protein 665
BAHD1,22893_at,0.961,0.8414259,-0.203625,-5.7728,-0.0463222,22893,bromo adjacent homology domain containing 1
C2CD2,25966_at,0.961,0.8414508,0.203592,-5.7728,0.1252722,25966,C2 calcium-dependent domain containing 2
IL18R1,8809_at,0.961,0.8414536,-0.203589,-5.7728,-0.0224222,8809,interleukin 18 receptor 1
T cell receptor alpha variable 40,28641_at,0.961,0.8414788,0.203556,-5.7728,0.0295778,28641,T cell receptor alpha variable 40
ZRANB3,84083_at,0.961,0.8415457,-0.203469,-5.7728,-0.1224,84083,"zinc finger, RAN-binding domain containing 3"
MANEA,79694_at,0.961,0.8415729,-0.203433,-5.7728,-0.1072667,79694,"mannosidase, endo-alpha"
GPRC5B,51704_at,0.961,0.8416149,0.203378,-5.7728,0.1023667,51704,"G protein-coupled receptor, family C, group 5, member B"
MAP3K19,80122_at,0.961,0.8416595,-0.20332,-5.7728,-0.0237556,80122,YSK4 Sps1/Ste20-related kinase homolog (S. cerevisiae)
EFCAB12,90288_at,0.961,0.8417683,-0.203178,-5.7729,-0.0183278,90288,chromosome 3 open reading frame 25
uncharacterized LOC100128977,100128977_at,0.961,0.8419021,0.203004,-5.7729,0.0243278,100128977,uncharacterized LOC100128977
TRIM11,81559_at,0.961,0.8419648,0.202922,-5.7729,0.0520833,81559,tripartite motif containing 11
FANCB,2187_at,0.961,0.8419988,-0.202878,-5.7729,-0.0735889,2187,"Fanconi anemia, complementation group B"
POLR3D,661_at,0.961,0.8420025,0.202873,-5.7729,0.0699278,661,"polymerase (RNA) III (DNA directed) polypeptide D, 44kDa"
SLC1A5,6510_at,0.961,0.8420151,-0.202857,-5.7729,-0.097,6510,"solute carrier family 1 (neutral amino acid transporter), member 5"
NARS1,4677_at,0.961,0.8420893,-0.20276,-5.773,-0.0624444,4677,asparaginyl-tRNA synthetase
FERD3L,222894_at,0.961,0.842098,-0.202749,-5.773,-0.0200056,222894,Fer3-like (Drosophila)
TH,7054_at,0.961,0.8422392,0.202565,-5.773,0.0462111,7054,tyrosine hydroxylase
LRP2BP,55805_at,0.961,0.8423092,0.202474,-5.773,0.0372,55805,LRP2 binding protein
MED26,9441_at,0.961,0.8424104,0.202342,-5.773,0.0349722,9441,mediator complex subunit 26
ALPL,249_at,0.961,0.8424367,-0.202308,-5.773,-0.0212833,249,"alkaline phosphatase, liver/bone/kidney"
TMEM132C,92293_at,0.961,0.8425533,-0.202156,-5.7731,-0.0187889,92293,transmembrane protein 132C
SNX32,254122_at,0.961,0.8426771,0.201994,-5.7731,0.0211167,254122,sorting nexin 32
PSD4,23550_at,0.961,0.8427753,-0.201866,-5.7731,-0.0728444,23550,pleckstrin and Sec7 domain containing 4
TIMM17A,10440_at,0.961,0.8427845,0.201854,-5.7731,0.0388333,10440,translocase of inner mitochondrial membrane 17 homolog A (yeast)
RHOT1,55288_at,0.961,0.8428124,-0.201818,-5.7731,-0.0535611,55288,"ras homolog gene family, member T1"
ARSI,340075_at,0.961,0.8428615,-0.201754,-5.7732,-0.0310389,340075,"arylsulfatase family, member I"
ADCY9,115_at,0.961,0.8428827,0.201727,-5.7732,0.0572778,115,adenylate cyclase 9
MPHOSPH9,10198_at,0.961,0.8429074,-0.201694,-5.7732,-0.1087778,10198,M-phase phosphoprotein 9
DOCK4,9732_at,0.961,0.8429466,0.201643,-5.7732,0.1902111,9732,dedicator of cytokinesis 4
TMEM225,338661_at,0.961,0.8429681,-0.201615,-5.7732,-0.0253833,338661,transmembrane protein 225
uncharacterized LOC100506247,100506247_at,0.961,0.8430582,0.201498,-5.7732,0.1139056,100506247,uncharacterized LOC100506247
PLCD4,84812_at,0.961,0.8430978,-0.201446,-5.7732,-0.0319333,84812,"phospholipase C, delta 4"
LINC00901,100506724_at,0.961,0.8432492,0.201249,-5.7733,0.0178444,100506724,LSAMP antisense RNA 4 (non-protein coding)
ADH1B,125_at,0.961,0.8432514,0.201246,-5.7733,0.0218778,125,"alcohol dehydrogenase 1B (class I), beta polypeptide"
LINC00683,284276_at,0.961,0.8432546,0.201242,-5.7733,0.0196556,284276,uncharacterized LOC284276
NACA,4666_at,0.961,0.8432572,0.201239,-5.7733,0.0234444,4666,nascent polypeptide-associated complex alpha subunit
LINC00877,285286_at,0.961,0.8433007,-0.201182,-5.7733,-0.0224333,285286,uncharacterized LOC285286
MTREX,23517_at,0.961,0.84341,-0.20104,-5.7733,-0.0567333,23517,superkiller viralicidic activity 2-like 2 (S. cerevisiae)
MRPS10,55173_at,0.961,0.8435802,-0.200818,-5.7733,-0.0640167,55173,mitochondrial ribosomal protein S10
IBSP,3381_at,0.961,0.8435835,-0.200814,-5.7733,-0.0184222,3381,integrin-binding sialoprotein
DGCR5,26220_at,0.961,0.8436409,-0.200739,-5.7734,-0.0538167,26220,DiGeorge syndrome critical region gene 5 (non-protein coding)
SLC17A8,246213_at,0.961,0.8436928,0.200671,-5.7734,0.0220111,246213,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8"
APBB1,322_at,0.961,0.8436964,-0.200667,-5.7734,-0.0288833,322,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)"
NFKB2,4791_at,0.961,0.8437645,0.200578,-5.7734,0.0748833,4791,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)
SRSF11,9295_at,0.961,0.8439679,-0.200313,-5.7734,-0.0390556,9295,serine/arginine-rich splicing factor 11
SLC35E4,339665_at,0.961,0.8442894,-0.199894,-5.7735,-0.1001,339665,"solute carrier family 35, member E4"
NEUROD1,4760_at,0.961,0.8442925,0.19989,-5.7735,0.0193222,4760,neurogenic differentiation 1
ATP13A3,79572_at,0.961,0.8443355,-0.199834,-5.7735,-0.0459556,79572,ATPase type 13A3
ARRDC2,27106_at,0.961,0.8444746,0.199653,-5.7736,0.0487167,27106,arrestin domain containing 2
SEMA4A,64218_at,0.961,0.8445615,-0.19954,-5.7736,-0.0365778,64218,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A"
RALGAPB,57148_at,0.961,0.8445987,-0.199492,-5.7736,-0.0488056,57148,"Ral GTPase activating protein, beta subunit (non-catalytic)"
UBE2W,55284_at,0.961,0.8446345,0.199445,-5.7736,0.0647611,55284,ubiquitin-conjugating enzyme E2W (putative)
GLO1,2739_at,0.961,0.8446394,-0.199439,-5.7736,-0.0548889,2739,glyoxalase I
uncharacterized LOC286359,286359_at,0.961,0.8446951,0.199366,-5.7736,0.0186222,286359,uncharacterized LOC286359
TUBA8,51807_at,0.961,0.8447143,-0.199341,-5.7736,-0.023,51807,"tubulin, alpha 8"
ASB10,136371_at,0.961,0.8449332,0.199056,-5.7737,0.0197167,136371,ankyrin repeat and SOCS box containing 10
zinc finger protein 839 pseudogene,389906_at,0.961,0.8449485,-0.199036,-5.7737,-0.0849167,389906,zinc finger protein 839 pseudogene
uncharacterized LOC100506661,100506661_at,0.961,0.8449531,0.19903,-5.7737,0.0914278,100506661,uncharacterized LOC100506661
KLF16,83855_at,0.961,0.8449635,0.199017,-5.7737,0.0486111,83855,Kruppel-like factor 16
JAZF1,221895_at,0.961,0.8450376,0.19892,-5.7737,0.0803056,221895,JAZF zinc finger 1
SIGIRR,59307_at,0.961,0.8450448,0.198911,-5.7737,0.0958278,59307,single immunoglobulin and toll-interleukin 1 receptor (TIR) domain
ZNF324,25799_at,0.961,0.8450811,0.198864,-5.7737,0.0414167,25799,zinc finger protein 324
IRAK1,3654_at,0.961,0.8451381,-0.198789,-5.7737,-0.0760333,3654,interleukin-1 receptor-associated kinase 1
AUNIP,79000_at,0.961,0.845152,0.198771,-5.7737,0.0517389,79000,chromosome 1 open reading frame 135
T cell receptor alpha variable 27,28655_at,0.962,0.8453013,-0.198577,-5.7738,-0.0346278,28655,T cell receptor alpha variable 27
PCAT18,728606_at,0.962,0.8455834,-0.19821,-5.7738,-0.0206167,728606,uncharacterized LOC728606
MRGBP,55257_at,0.962,0.8455856,0.198207,-5.7738,0.0642778,55257,chromosome 20 open reading frame 20
FAM24B,196792_at,0.962,0.8456304,-0.198149,-5.7739,-0.1342611,196792,"family with sequence similarity 24, member B"
EDDM13,100506374_at,0.962,0.8457974,-0.197931,-5.7739,-0.0224778,100506374,uncharacterized LOC100506374
LZTFL1,54585_at,0.962,0.8458452,-0.197869,-5.7739,-0.0831944,54585,leucine zipper transcription factor-like 1
ADCY10P1,221442_at,0.962,0.8458732,0.197833,-5.7739,0.0401333,221442,adenylate cyclase 10 (soluble) pseudogene
ABRAXAS1,84142_at,0.962,0.8458816,0.197822,-5.7739,0.10095,84142,"family with sequence similarity 175, member A"
WDR70,55100_at,0.962,0.8460129,0.197651,-5.7739,0.0488222,55100,WD repeat domain 70
CCNG2,901_at,0.962,0.8460282,-0.197631,-5.774,-0.1001556,901,cyclin G2
LINC01089,338799_at,0.962,0.8460642,-0.197584,-5.774,-0.0602278,338799,uncharacterized LOC338799
MYOF,26509_at,0.962,0.8460862,0.197555,-5.774,0.1837667,26509,myoferlin
DUSP6,1848_at,0.962,0.8461428,0.197482,-5.774,0.0831444,1848,dual specificity phosphatase 6
TECRL,253017_at,0.962,0.8462066,-0.197399,-5.774,-0.0168611,253017,"trans-2,3-enoyl-CoA reductase-like"
SUPT3H,8464_at,0.962,0.8462659,0.197322,-5.774,0.0835944,8464,suppressor of Ty 3 homolog (S. cerevisiae)
uncharacterized LOC100506591,100506591_at,0.962,0.846299,-0.197278,-5.774,-0.0470389,100506591,uncharacterized LOC100506591
COPS6,10980_at,0.962,0.8463477,-0.197215,-5.774,-0.0606056,10980,COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)
CRPPA-AS1,100506025_at,0.962,0.8463793,0.197174,-5.774,0.0190722,100506025,uncharacterized LOC100506025
SOGA3,387104_at,0.962,0.8464602,-0.197069,-5.7741,-0.0773278,387104,chromosome 6 open reading frame 174
NDUFA13,51079_at,0.962,0.8465461,-0.196957,-5.7741,-0.0431111,51079,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13"
CSRNP1,64651_at,0.962,0.8466504,0.196821,-5.7741,0.0650056,64651,cysteine-serine-rich nuclear protein 1
RGS18,64407_at,0.962,0.8467465,-0.196696,-5.7741,-0.0167333,64407,regulator of G-protein signaling 18
NEO1,4756_at,0.962,0.8468537,0.196557,-5.7742,0.1285278,4756,neogenin 1
EXD2,55218_at,0.962,0.8468667,-0.19654,-5.7742,-0.0406056,55218,exonuclease 3'-5' domain containing 2
LAMTOR2,28956_at,0.962,0.8468717,-0.196533,-5.7742,-0.0414056,28956,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 2"
TASL,80231_at,0.962,0.8470055,0.196359,-5.7742,0.0262833,80231,chromosome X open reading frame 21
NSF,4905_at,0.962,0.8470734,0.196271,-5.7742,0.0538944,4905,N-ethylmaleimide-sensitive factor
WDFY1,57590_at,0.962,0.8470956,-0.196242,-5.7742,-0.05035,57590,WD repeat and FYVE domain containing 1
ZNF425,155054_at,0.962,0.847183,-0.196128,-5.7742,-0.03905,155054,zinc finger protein 425
GARIN5A,112703_at,0.962,0.8472275,0.19607,-5.7742,0.0657389,112703,"family with sequence similarity 71, member E1"
CHRNB4,1143_at,0.962,0.8473531,-0.195907,-5.7743,-0.0224056,1143,"cholinergic receptor, nicotinic, beta 4"
uncharacterized LOC100506582,100506582_at,0.962,0.8474908,0.195728,-5.7743,0.0185111,100506582,uncharacterized LOC100506582
OXT,5020_at,0.962,0.847521,0.195688,-5.7743,0.0237444,5020,"oxytocin, prepropeptide"
uncharacterized LOC284950,284950_at,0.962,0.8476376,-0.195537,-5.7743,-0.0231444,284950,uncharacterized LOC284950
"N-acetyltransferase 8B (GCN5-related, putative, gene/pseudogene)",51471_at,0.962,0.8476442,-0.195528,-5.7744,-0.0227556,51471,"N-acetyltransferase 8B (GCN5-related, putative, gene/pseudogene)"
TXLNGY,246126_at,0.962,0.8476953,0.195462,-5.7744,0.1396667,246126,"taxilin gamma 2, pseudogene"
APOC3,345_at,0.962,0.8476994,0.195456,-5.7744,0.0536,345,apolipoprotein C-III
CECR3,27442_at,0.962,0.8477445,0.195398,-5.7744,0.0185,27442,"cat eye syndrome chromosome region, candidate 3 (non-protein coding)"
PXT1,222659_at,0.962,0.8477581,-0.19538,-5.7744,-0.0217833,222659,"peroxisomal, testis specific 1"
MIDN,90007_at,0.962,0.847815,0.195306,-5.7744,0.0381167,90007,midnolin
DCUN1D3,123879_at,0.962,0.8479088,0.195184,-5.7744,0.0783389,123879,"DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)"
SLC41A3,54946_at,0.962,0.8479198,-0.19517,-5.7744,-0.0484944,54946,"solute carrier family 41, member 3"
RNF13,11342_at,0.962,0.8479435,-0.195139,-5.7744,-0.0467111,11342,ring finger protein 13
EDARADD,128178_at,0.962,0.8479698,-0.195104,-5.7744,-0.0166222,128178,EDAR-associated death domain
ZNF646,9726_at,0.962,0.8479961,-0.19507,-5.7744,-0.0337611,9726,zinc finger protein 646
ZNF91,7644_at,0.962,0.848004,0.19506,-5.7744,0.0955278,7644,zinc finger protein 91
HMGB4,127540_at,0.962,0.848047,0.195004,-5.7744,0.0241278,127540,high mobility group box 4
ADHFE1,137872_at,0.962,0.8481704,0.194844,-5.7745,0.0276111,137872,"alcohol dehydrogenase, iron containing, 1"
CRYGC,1420_at,0.962,0.8482533,-0.194736,-5.7745,-0.0295222,1420,"crystallin, gamma C"
BCDIN3D-AS1,100286844_at,0.962,0.8482563,0.194732,-5.7745,0.0192111,100286844,uncharacterized LOC100286844
CNTFR,1271_at,0.962,0.8483026,-0.194672,-5.7745,-0.0391889,1271,ciliary neurotrophic factor receptor
TMEM190,147744_at,0.962,0.8483998,-0.194545,-5.7745,-0.0189611,147744,transmembrane protein 190
LRRC40,55631_at,0.962,0.8484116,0.19453,-5.7745,0.0777333,55631,leucine rich repeat containing 40
CDV3,55573_at,0.962,0.8484418,0.194491,-5.7745,0.0529778,55573,CDV3 homolog (mouse)
"acidic (leucine-rich) nuclear phosphoprotein 32 family, member C",23520_at,0.962,0.8484436,-0.194488,-5.7745,-0.0357333,23520,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member C"
PODXL,5420_at,0.962,0.8484986,-0.194417,-5.7746,-0.1634333,5420,podocalyxin-like
FOXN3-AS1,400236_at,0.962,0.8486003,0.194284,-5.7746,0.0593167,400236,uncharacterized LOC400236
YJEFN3,374887_at,0.962,0.8486131,-0.194268,-5.7746,-0.0322056,374887,YjeF N-terminal domain containing 3
YPEL3,83719_at,0.962,0.8486782,-0.194183,-5.7746,-0.1030889,83719,yippee-like 3 (Drosophila)
NUP107,57122_at,0.962,0.848724,0.194124,-5.7746,0.0507278,57122,nucleoporin 107kDa
KRI1,65095_at,0.962,0.8487757,0.194056,-5.7746,0.0428833,65095,KRI1 homolog (S. cerevisiae)
DNLZ,728489_at,0.962,0.8488843,0.193915,-5.7747,0.0490778,728489,DNL-type zinc finger
HEMGN,55363_at,0.962,0.8490804,0.19366,-5.7747,0.0164778,55363,hemogen
PRKN,5071_at,0.962,0.8491126,-0.193618,-5.7747,-0.0163167,5071,"parkinson protein 2, E3 ubiquitin protein ligase (parkin)"
IFI44,10561_at,0.962,0.8491165,0.193613,-5.7747,0.1674778,10561,interferon-induced protein 44
SLC39A8,64116_at,0.962,0.8491553,0.193563,-5.7747,0.0761167,64116,"solute carrier family 39 (zinc transporter), member 8"
ELL2,22936_at,0.962,0.849207,-0.193495,-5.7747,-0.1355389,22936,"elongation factor, RNA polymerase II, 2"
IL12B,3593_at,0.962,0.8492383,0.193455,-5.7747,0.0199667,3593,"interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)"
NEUROD6,63974_at,0.962,0.8494734,-0.193149,-5.7748,-0.0211944,63974,neurogenic differentiation 6
OR5L2,26338_at,0.962,0.8495283,0.193078,-5.7748,0.0284111,26338,"olfactory receptor, family 5, subfamily L, member 2"
MRGPRX2,117194_at,0.962,0.8496491,0.192921,-5.7748,0.0190556,117194,"MAS-related GPR, member X2"
PRDM12,59335_at,0.962,0.8496614,0.192904,-5.7748,0.0268222,59335,PR domain containing 12
PPP1R3A,5506_at,0.962,0.8496819,0.192878,-5.7748,0.0202167,5506,"protein phosphatase 1, regulatory subunit 3A"
GLMP,112770_at,0.962,0.8496975,0.192858,-5.7749,0.1175333,112770,chromosome 1 open reading frame 85
GSTZ1,2954_at,0.962,0.849712,-0.192839,-5.7749,-0.0551333,2954,glutathione transferase zeta 1
DDX49,54555_at,0.962,0.8497262,0.19282,-5.7749,0.0510667,54555,DEAD (Asp-Glu-Ala-Asp) box polypeptide 49
C12orf40,283461_at,0.962,0.8497462,0.192794,-5.7749,0.0191222,283461,chromosome 12 open reading frame 40
RNPS1,10921_at,0.962,0.8497687,0.192765,-5.7749,0.0392778,10921,"RNA binding protein S1, serine-rich domain"
HBM,3042_at,0.962,0.8498116,0.192709,-5.7749,0.0207389,3042,"hemoglobin, mu"
uncharacterized LOC100506189,100506189_at,0.962,0.8498624,0.192643,-5.7749,0.0197556,100506189,uncharacterized LOC100506189
ARIH1,25820_at,0.962,0.8498745,-0.192627,-5.7749,-0.03425,25820,"ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)"
PDE1A,5136_at,0.962,0.8499406,-0.192541,-5.7749,-0.0169944,5136,"phosphodiesterase 1A, calmodulin-dependent"
NOTCH2,4853_at,0.962,0.849978,0.192493,-5.7749,0.1006889,4853,notch 2
RPN2,6185_at,0.962,0.8502253,0.192171,-5.775,0.0451667,6185,ribophorin II
SSU72,29101_at,0.962,0.850231,0.192164,-5.775,0.0254556,29101,SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)
NEK9,91754_at,0.962,0.8502906,-0.192086,-5.775,-0.04625,91754,NIMA (never in mitosis gene a)- related kinase 9
NOL6,65083_at,0.962,0.8504012,0.191943,-5.775,0.0485,65083,nucleolar protein family 6 (RNA-associated)
TRPM3,80036_at,0.963,0.8505686,-0.191725,-5.7751,-0.0155667,80036,"transient receptor potential cation channel, subfamily M, member 3"
OPCML,4978_at,0.963,0.8507097,0.191542,-5.7751,0.0176056,4978,opioid binding protein/cell adhesion molecule-like
DESI2,51029_at,0.963,0.8507112,0.19154,-5.7751,0.0378444,51029,PPPDE peptidase domain containing 1
C1orf54,79630_at,0.963,0.8507695,-0.191464,-5.7751,-0.0528444,79630,chromosome 1 open reading frame 54
IGFL1,374918_at,0.963,0.8507934,-0.191433,-5.7751,-0.0861889,374918,IGF-like family member 1
R3HDM1,23518_at,0.963,0.8508929,0.191304,-5.7751,0.0333667,23518,R3H domain containing 1
RAB39B,116442_at,0.963,0.8509181,0.191271,-5.7751,0.0496944,116442,"RAB39B, member RAS oncogene family"
TGFBI,7045_at,0.963,0.8510446,-0.191106,-5.7752,-0.3258889,7045,"transforming growth factor, beta-induced, 68kDa"
FLAD1,80308_at,0.963,0.8511156,0.191014,-5.7752,0.0354167,80308,FAD1 flavin adenine dinucleotide synthetase homolog (S. cerevisiae)
RBBP8,5932_at,0.963,0.8511461,-0.190974,-5.7752,-0.0761778,5932,retinoblastoma binding protein 8
PISD,23761_at,0.963,0.8511643,0.190951,-5.7752,0.0476056,23761,phosphatidylserine decarboxylase
AKAP3,10566_at,0.963,0.8512349,0.190859,-5.7752,0.0474611,10566,A kinase (PRKA) anchor protein 3
SRP14,6727_at,0.963,0.8512892,0.190788,-5.7752,0.022,6727,signal recognition particle 14kDa (homologous Alu RNA binding protein)
LECT2,3950_at,0.963,0.8513604,-0.190696,-5.7753,-0.0268222,3950,leukocyte cell-derived chemotaxin 2
FOXN3,1112_at,0.963,0.8513636,0.190692,-5.7753,0.07125,1112,forkhead box N3
CNOT8,9337_at,0.963,0.8513828,-0.190667,-5.7753,-0.0484833,9337,"CCR4-NOT transcription complex, subunit 8"
RNF139,11236_at,0.963,0.8515448,-0.190456,-5.7753,-0.04175,11236,ring finger protein 139
TEX26-AS1,100507064_at,0.963,0.8515647,-0.19043,-5.7753,-0.0152778,100507064,uncharacterized LOC100507064
SOX8,30812_at,0.963,0.8515898,-0.190398,-5.7753,-0.1764722,30812,SRY (sex determining region Y)-box 8
POSTN,10631_at,0.963,0.8516275,-0.190349,-5.7753,-0.1477778,10631,"periostin, osteoblast specific factor"
NDUFC1,4717_at,0.963,0.8516505,0.190319,-5.7753,0.0514444,4717,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa"
APOBEC3B,9582_at,0.963,0.8516763,0.190285,-5.7753,0.2203111,9582,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"
CRISPLD2,83716_at,0.963,0.8517352,-0.190209,-5.7753,-0.1044389,83716,cysteine-rich secretory protein LCCL domain containing 2
HASPIN,83903_at,0.963,0.8518633,-0.190042,-5.7754,-0.0675,83903,germ cell associated 2 (haspin)
SDAD1,55153_at,0.963,0.8519829,0.189887,-5.7754,0.0561333,55153,SDA1 domain containing 1
ADAM32,203102_at,0.963,0.8521469,-0.189674,-5.7754,-0.0296333,203102,ADAM metallopeptidase domain 32
TRPT1,83707_at,0.963,0.8523508,0.189409,-5.7755,0.04525,83707,tRNA phosphotransferase 1
ATF7IP2,80063_at,0.963,0.8523531,-0.189406,-5.7755,-0.0746444,80063,activating transcription factor 7 interacting protein 2
OR51I2,390064_at,0.963,0.8525616,-0.189135,-5.7755,-0.0201889,390064,"olfactory receptor, family 51, subfamily I, member 2"
RUFY2,55680_at,0.963,0.8525713,0.189122,-5.7755,0.0419444,55680,RUN and FYVE domain containing 2
TMEM174,134288_at,0.963,0.8525741,-0.189119,-5.7755,-0.0153111,134288,transmembrane protein 174
MVP,9961_at,0.963,0.8527268,0.18892,-5.7756,0.1261833,9961,major vault protein
uncharacterized protein BC001742,90834_at,0.963,0.8527813,-0.18885,-5.7756,-0.0367278,90834,uncharacterized protein BC001742
INTS14,81556_at,0.963,0.852802,0.188823,-5.7756,0.0640611,81556,chromosome 15 open reading frame 44
USP2,9099_at,0.963,0.8530362,0.188518,-5.7757,0.03535,9099,ubiquitin specific peptidase 2
uncharacterized LOC100506652,100506652_at,0.963,0.8530549,0.188494,-5.7757,0.0253111,100506652,uncharacterized LOC100506652
TMEM40,55287_at,0.963,0.8530681,-0.188477,-5.7757,-0.0312,55287,transmembrane protein 40
SANBR,84542_at,0.963,0.8530758,-0.188467,-5.7757,-0.0991667,84542,KIAA1841
ADAM30,11085_at,0.963,0.8531018,-0.188433,-5.7757,-0.0163,11085,ADAM metallopeptidase domain 30
FAM110D,79927_at,0.963,0.8531059,0.188428,-5.7757,0.0210444,79927,"family with sequence similarity 110, member D"
ZNF317,57693_at,0.963,0.8531904,0.188318,-5.7757,0.0470667,57693,zinc finger protein 317
NECTIN1,5818_at,0.963,0.8532811,-0.1882,-5.7757,-0.0193556,5818,poliovirus receptor-related 1 (herpesvirus entry mediator C)
KIF14,9928_at,0.963,0.8533474,-0.188114,-5.7757,-0.0362833,9928,kinesin family member 14
GNA15,2769_at,0.963,0.8534679,-0.187958,-5.7758,-0.0264111,2769,"guanine nucleotide binding protein (G protein), alpha 15 (Gq class)"
FCER1G,2207_at,0.963,0.8535033,0.187912,-5.7758,0.0196611,2207,"Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide"
GRM3,2913_at,0.963,0.8535207,0.187889,-5.7758,0.0255722,2913,"glutamate receptor, metabotropic 3"
TRIM52-AS1,100507602_at,0.963,0.8535559,-0.187843,-5.7758,-0.0357,100507602,uncharacterized LOC100507602
SCT,6343_at,0.963,0.8536322,-0.187744,-5.7758,-0.0373611,6343,secretin
TTC36,143941_at,0.963,0.8536799,0.187682,-5.7758,0.0197944,143941,tetratricopeptide repeat domain 36
ADAM18,8749_at,0.963,0.8539572,-0.187322,-5.7759,-0.02255,8749,ADAM metallopeptidase domain 18
RUNX1,100506403_at,0.963,0.8540091,-0.187255,-5.7759,-0.0186889,100506403,uncharacterized LOC100506403
